step,gs0,gs1,gs2,
1135,886,903,920,
1136,886,903,920,
1137,884,901,950,
1138,884,901,950,
1139,882,903,956,
1140,882,903,956,
1141,892,902,958,
1142,892,902,958,
1143,890,897,959,
1144,890,897,959,
1145,897,894,957,
1146,897,894,957,
1147,890,944,956,
1148,890,944,956,
1149,895,958,958,
1150,895,958,958,
1151,894,959,958,
1152,894,959,958,
1153,892,959,958,
1154,892,959,958,
1155,881,959,959,
1156,881,959,959,
1157,952,959,959,
1158,952,959,959,
1159,960,960,959,
1160,960,960,959,
1161,960,960,959,
1162,960,960,959,
1163,960,960,959,
1164,960,960,959,
1165,960,960,959,
1166,960,960,959,
1167,960,959,959,
1168,960,959,959,
1169,960,961,959,
1170,960,961,959,
1171,960,961,959,
1172,960,961,959,
1173,960,960,960,
1174,960,960,960,
1175,960,960,960,
1176,961,960,960,
1177,961,960,960,
1178,961,960,960,
1179,961,960,960,
1180,960,960,960,
1181,960,960,960,
1182,961,960,960,
1183,961,960,960,
1184,960,960,960,
1185,960,960,960,
1186,960,961,960,
1187,960,961,960,
1188,960,960,959,
1189,960,960,959,
1190,961,961,960,
1191,961,961,960,
1192,960,960,959,
1193,960,960,959,
1194,961,960,959,
1195,961,960,959,
1196,960,960,959,
1197,960,960,959,
1198,960,960,959,
1199,960,960,959,
1200,961,960,959,
1201,961,960,959,
1202,960,960,959,
1203,960,960,959,
1204,960,960,959,
1205,960,960,959,
1206,960,959,959,
1207,960,959,959,
1208,961,961,959,
1209,960,960,959,
1210,960,960,959,
1211,960,961,959,
1212,960,961,959,
1213,960,960,959,
1214,960,960,959,
1215,960,961,960,
1216,960,961,960,
1217,960,960,960,
1218,960,960,960,
1219,960,960,959,
1220,960,960,959,
1221,960,960,959,
1222,960,960,959,
1223,961,960,959,
1224,961,960,959,
1225,960,959,959,
1226,960,959,959,
1227,960,959,959,
1228,960,959,959,
1229,960,960,960,
1230,960,960,960,
1231,961,960,959,
1232,961,960,959,
1233,960,960,959,
1234,960,960,959,
1235,960,960,959,
1236,960,960,959,
1237,960,961,959,
1238,960,961,959,
1239,961,960,959,
1240,961,960,959,
1241,960,959,959,
1242,960,959,959,
1243,960,960,959,
1244,961,961,959,
1245,961,961,959,
1246,960,960,959,
1247,960,960,959,
1248,960,960,960,
1249,960,960,960,
1250,960,960,960,
1251,960,960,960,
1252,960,961,960,
1253,960,961,960,
1254,960,960,960,
1255,960,960,960,
1256,960,961,960,
1257,960,961,960,
1258,960,961,959,
1259,960,961,959,
1260,961,961,960,
1261,961,961,960,
1262,960,960,961,
1263,960,960,961,
1264,960,961,959,
1265,960,961,959,
1266,961,961,959,
1267,961,961,959,
1268,960,961,960,
1269,960,961,960,
1270,960,960,959,
